word,definition,slang_definition
shade,comparative darkness or obscurity produced when something blocks the light of the sun,"A subtle, indirect insult or disrespectful remark."
snatched,to attempt to seize something suddenly,"Looking extremely attractive, fashionable, and perfectly put-together."
pressed,to act upon through steady pushing or thrusting force exerted in contact : squeeze,"Bothered, stressed, or agitated, often defensively."
salty,"of, seasoned with, or containing salt","Annoyed or bitter, typically after a setback or defeat."
triggered,"released, initiated, or set off by a trigger","Suddenly and intensely upset, often over-reacting to something minor or sensitive."
clout,a piece of cloth or leather : rag,"Social influence or power derived from popularity, often online."
glow up,a usually dramatic enhancement especially to someone's or something's physical appearance : an instance of glowing up,"A significant and positive transformation in appearance, style, confidence, or overall well-being."
vibe check,No definition found.,"A quick assessment of the current mood, feeling, or energy of a person or situation."
no filter,a porous article or mass (as of paper or sand) through which a gas or liquid is passed to separate out matter in suspension,Speaking without self-censorship; openly saying whatever comes to mind.
send it,No definition found.,To commit fully and enthusiastically to a challenging or risky action.
big yikes,No definition found.,"An exclamation of extreme awkwardness, cringe, or discomfort."
yikes,—used to express fear or astonishment,"An exclamation of mild surprise, discomfort, or embarrassment, often for an awkward or problematic situation."
it's giving,No definition found.,Expresses that something exudes a particular vibe or quality.
ate,No definition found.,Achieved outstanding success or performed perfectly.
left no crumbs,No definition found.,"Executed a task flawlessly and completely, leaving no room for improvement."
understood,fully apprehended,"Acknowledged, implying shared knowledge or agreement without needing further discussion."
real one,No definition found.,"A genuinely trustworthy, authentic, and supportive friend."
on sight,as soon as seen,Immediate action or confrontation triggered the moment someone is seen.
deadass,in all seriousness : seriously,"Genuinely serious, honest, or for real."
lowkey highkey,No definition found.,Acting discreet about something actually very obvious or strongly felt.
this ain't it,No definition found.,"Indicates something is unsatisfactory, disappointing, or not meeting expectations."
understood the vibe,No definition found.,"Accurately perceived the unspoken mood, atmosphere, or social context."
caught feelings,No definition found.,To unexpectedly develop romantic or deep emotional attraction for someone.
living rent free,No definition found.,Occupying someone's thoughts or mind continuously and involuntarily.
hits hard,No definition found.,"Very impactful, resonating deeply emotionally or mentally."
main character energy,No definition found.,A confident mindset of being the central focus and protagonist of your own life story.
not it,—used to say that someone will keep talking about something for a long time,Refusing to be chosen for an undesirable task or responsibility.
understood the moment,No definition found.,Instantly grasped the unspoken significance or true nature of a situation.
ok boomer,No definition found.,"A dismissive retort to perceived outdated or condescending views, often from older generations."
karen,a member of a group of peoples of eastern and southern Myanmar,"An entitled, demanding, and confrontational person, typically a white woman, who uses perceived privilege to get their way."
chad,small pieces of paper or cardboard produced in punching paper tape or data cards; also : a piece of chad,"An archetypally attractive, confident, and popular man, often successful with women."
simp era,No definition found.,"A period of being overly eager to please or devoted to someone, often romantically."
understood the culture,No definition found.,"Grasped the unspoken rules, social cues, and ways of operating within a specific group."
not the same,not at the same level of ability,"Changed negatively, losing its original appeal or quality."
big mad,No definition found.,Intensely angry or extremely upset.
soft launch,No definition found.,"Revealing something new, like a relationship, quietly or unofficially before a formal announcement."
hard launch,No definition found.,Sharing a definitive social media post publicly confirming a new romantic relationship.
situationship,a loosely-defined sexual or romantic relationship between partners who are unclear about the exact nature of the relationship in terms of the other partner's level of commitment and future expectations; also : one of the people in such a relationship,An ambiguous romantic or intimate connection lacking official labels or commitment.
talking stage,No definition found.,A casual pre-relationship phase where people communicate to see if they want to date.
gaslighting,"psychological manipulation of a person usually over an extended period of time that causes the victim to question the validity of their own thoughts, perception of reality, or memories and typically leads to confusion, loss of confidence and self-esteem, uncertainty of one's emotional or mental stability, and a dependency on the perpetrator","Psychological manipulation causing someone to doubt their own memory, perception, or sanity."
red flag,to identify or draw attention to (a problem or issue to be dealt with),A warning sign of a potential problem or danger.
green flag,No definition found.,A positive sign or characteristic in a person or situation.
beige flag,No definition found.,"A personality trait or habit that is neutral, unremarkable, and slightly uninteresting."
delulu,having false ideas or beliefs : delusional; especially : unreasonably self-confident especially in one's ability to achieve life goals,"Delusional; having unrealistic beliefs, especially about romantic situations or personal abilities."
understood assignment,No definition found.,"Successfully grasped and flawlessly executed expectations, often with style or precision."
slay queen,No definition found.,"A confident, stylish, and successful woman who excels and makes a powerful impression."
understood energy,No definition found.,"A shared, unspoken vibe or implicit mutual understanding."
era,a fixed point in time from which a series of years is reckoned,"A distinct phase in someone's life, often defined by a mood, style, or activity."
understood moment,No definition found.,"A silent, shared recognition of a situation or feeling that needs no verbal explanation."
that girl,No definition found.,"An aspirational woman who is successful, independent, put-together, and prioritizes self-care and personal growth."
roman empire,"the empire of ancient Rome that began with the imperial rule of Augustus in 27 b.c. and included at its greatest extent (circa 117 a.d.) all of southern Europe, Britain, northern Africa, Egypt, Asia Minor, the northern coast of Pontus Euxinus (the Black Sea), Armenia and regions south of the Caucasus, Mesopotamia and adjoining regions, Syria, Palestine, and the northwestern corner of Arabia",A topic or thought someone constantly thinks about or is deeply preoccupied with.
girl dinner,No definition found.,"A simple, often snack-based, unconventional meal, humorously embraced as a personal, low-effort choice."
bed rotting,No definition found.,"Staying in bed for an extended time, doing little and feeling unproductive or sluggish."
understood vibe,No definition found.,"An unspoken mutual recognition of a mood, feeling, or situation."
quiet quitting,the practice of doing the minimum amount of work required for one's job,"Fulfilling only basic job requirements, without extra effort or commitment beyond paid duties."
loud quitting,No definition found.,Publicly resigning with open criticism or dramatic flair.
bare minimum,as low as possible,Doing just enough to barely pass or fulfill an obligation.
